qa_id,hard_type,route_expected,route_alt,question,expected_behavior,sentiment,provenance,note
300016,극단단답,OTHER,,얼마요?,대상이 없다. 무엇에 대한 금액인지 되물어야 한다.,m,합성,저작 시 유형 지정
300017,극단단답,OTHER,,네?,직전 맥락 없이는 처리할 수 없다.,m,합성,저작 시 유형 지정
300018,극단단답,OTHER,,언제요?,시점을 묻는 대상이 불명확하다.,m,합성,저작 시 유형 지정
300019,극단단답,OTHER,,가능한가요?,무엇이 가능한지 없다.,m,합성,저작 시 유형 지정
300020,극단단답,OTHER,,환불,의도만 있고 요청 내용이 없다. 반품으로 볼 여지는 있다.,m,합성,저작 시 유형 지정
300021,극단단답,OTHER,,이거요,지시 대상이 문장에 없다.,m,합성,저작 시 유형 지정
300022,극단단답,OTHER,,아직도요?,불만 표현이나 대상이 없다.,m,합성,저작 시 유형 지정
300023,극단단답,OTHER,,어떻게 해요,무엇을 어떻게 하는지 없다.,m,합성,저작 시 유형 지정
300024,극단단답,OTHER,,확인 좀,확인 대상이 없다.,m,합성,저작 시 유형 지정
300025,극단단답,OTHER,,배송,단어 하나로는 질문이 성립하지 않는다.,m,합성,저작 시 유형 지정
300026,극단단답,OTHER,,ㅠㅠ,내용이 없다.,m,합성,저작 시 유형 지정
300027,극단단답,OTHER,,저기요,호출만 있다.,m,합성,저작 시 유형 지정
300028,다중의도,SHIPPING,RETURN_REFUND,배송비도 궁금하고 어제 산 건 반품하고 싶어요.,문의가 실제로 두 건이다. 쪼개서 각각 처리해야 한다.,m,합성,저작 시 유형 지정
300029,다중의도,PRODUCT_INFO,ORDER_PLACE,소재 알려주시고 맞으면 두 개 주문할게요.,조회와 주문이 함께 있다.,m,합성,저작 시 유형 지정
300030,다중의도,RETURN_REFUND,SHIPPING,교환품은 언제 오고 반품비는 얼마인가요?,반품 진행과 비용 두 건이다.,m,합성,저작 시 유형 지정
300031,다중의도,SHIPPING,ORDER_PLACE,오늘 주문하면 언제 오고 무료배송은 얼마부터인가요?,배송 시점과 정책 두 건이다.,m,합성,저작 시 유형 지정
300032,다중의도,PRODUCT_INFO,SHIPPING,재고 확인하고 제주도 배송비도 알려주세요.,상품과 배송 두 건이다.,m,합성,저작 시 유형 지정
300033,다중의도,RETURN_REFUND,PRODUCT_INFO,불량 같은데 교환되나요 아니면 소재가 원래 이런가요?,하자 접수와 상품 문의가 섞였다.,m,합성,저작 시 유형 지정
300034,다중의도,ORDER_PLACE,SHIPPING,두 개 주문하고 주소도 바꾸고 싶어요.,주문과 배송지 변경 두 건이다.,m,합성,저작 시 유형 지정
300035,다중의도,SHIPPING,RETURN_REFUND,수거는 언제 오고 환불은 언제 되나요?,회수 일정과 환불 일정 두 건이다.,m,합성,저작 시 유형 지정
300036,다중의도,PRODUCT_INFO,ORDER_PLACE,사이즈표 보내주시고 95로 결제 부탁드려요.,정보 요청과 주문 요청이다.,m,합성,저작 시 유형 지정
300037,다중의도,RETURN_REFUND,ORDER_PLACE,이건 반품하고 다른 색으로 새로 주문할게요.,반품과 신규 주문 두 건이다.,m,합성,저작 시 유형 지정
300038,다중의도,SHIPPING,PRODUCT_INFO,색상 재고랑 오늘 출고 여부 같이 알려주세요.,재고와 출고 두 건이다.,m,합성,저작 시 유형 지정
300039,다중의도,RETURN_REFUND,SHIPPING,반품 접수하고 배송비 청구도 취소해주세요.,접수와 결제 조정 두 건이다.,m,합성,저작 시 유형 지정
300040,문맥의존,OTHER,,그럼 그걸로 할게요.,앞 턴에서 특정된 대상이 필요하다.,m,합성,저작 시 유형 지정
300041,문맥의존,OTHER,,아까 말씀하신 대로 해주세요.,직전 안내 내용을 알아야 한다.,m,합성,저작 시 유형 지정
300042,문맥의존,OTHER,,그 금액이 맞나요?,어떤 금액인지 앞 맥락에 있다.,m,합성,저작 시 유형 지정
300043,문맥의존,OTHER,,둘 중에 두 번째 걸로요.,선택지가 앞 턴에 있다.,m,합성,저작 시 유형 지정
300044,문맥의존,OTHER,,그날로 바꿔주세요.,날짜가 앞 대화에 있다.,m,합성,저작 시 유형 지정
300045,문맥의존,OTHER,,거기로 보내주시면 됩니다.,주소가 앞 대화에 있다.,m,합성,저작 시 유형 지정
300046,문맥의존,OTHER,,방금 안내받은 번호로 접수했어요.,직전 안내를 참조한다.,m,합성,저작 시 유형 지정
300047,문맥의존,OTHER,,그 사이즈는 안 맞아서요.,어떤 사이즈인지 앞에 있다.,m,합성,저작 시 유형 지정
300048,문맥의존,OTHER,,네 그렇게 진행해주세요.,무엇을 진행하는지 앞에 있다.,m,합성,저작 시 유형 지정
300049,분류체계밖,OTHER,,오프라인 매장 위치가 어디인가요?,모두몰은 온라인 전용이다. 범위 밖 안내 후 종료.,m,합성,저작 시 유형 지정
300050,분류체계밖,OTHER,,쿠팡에서 산 것도 여기서 반품되나요?,외부 채널 주문은 범위 밖이다.,m,합성,저작 시 유형 지정
300051,분류체계밖,OTHER,,제조사 수리는 어디로 맡기나요?,제조사 A/S는 범위 밖이다.,m,합성,저작 시 유형 지정
300052,분류체계밖,OTHER,,입점 문의는 어디로 하면 되나요?,상담 범위 밖이다.,m,합성,저작 시 유형 지정
300053,분류체계밖,OTHER,,채용 공고는 어디서 보나요?,상담 범위 밖이다.,m,합성,저작 시 유형 지정
300054,분류체계밖,OTHER,,세금계산서 발행 부서 연락처 알려주세요.,일반 상담 범위를 벗어난다.,m,합성,저작 시 유형 지정
300055,분류체계밖,OTHER,,주차 가능한가요?,오프라인 매장이 없다.,m,합성,저작 시 유형 지정
300056,분류체계밖,OTHER,,기업 대량 납품도 하시나요?,일반 상담 범위 밖이다.,m,합성,저작 시 유형 지정
300057,분류체계밖,OTHER,,영업시간이 몇 시까지인가요?,온라인 전용이라 해당하지 않는다.,m,합성,저작 시 유형 지정
300058,분류체계밖,OTHER,,제휴 문의 담당자와 통화하고 싶습니다.,상담 범위 밖이다.,m,합성,저작 시 유형 지정
300059,분류체계밖,OTHER,,광고 모델이 누구인가요?,상담 범위 밖이다.,m,합성,저작 시 유형 지정
300060,분류체계밖,OTHER,,앱 설치가 안 되는데 어떻게 하죠?,서비스 기술 문의로 별도 경로다.,m,합성,저작 시 유형 지정
300061,텍스트손상,SHIPPING,,배송비얼마에오??,띄어쓰기와 종결이 깨졌다.,m,합성,저작 시 유형 지정
300062,텍스트손상,RETURN_REFUND,,반품하려는데어떻게하나요ㅠ,공백이 없다.,n,합성,저작 시 유형 지정
300063,텍스트손상,PRODUCT_INFO,,사이즈가 어떻게 되나 요,조사와 어미가 분리됐다.,m,합성,저작 시 유형 지정
300064,텍스트손상,ORDER_PLACE,,두개 주문 주문 하고싶어요,단어가 중복됐다.,m,합성,저작 시 유형 지정
300065,텍스트손상,SHIPPING,,언제쯤받을수있을까요 ㅜㅜ,공백 누락과 이모티콘.,m,합성,저작 시 유형 지정
300066,텍스트손상,RETURN_REFUND,,환불 언제 되지요 벌써 몇일째,구어체와 오타가 섞였다.,m,합성,저작 시 유형 지정
300067,텍스트손상,PRODUCT_INFO,,이거 소재 가 뭔가요,조사가 분리됐다.,m,합성,저작 시 유형 지정
300068,텍스트손상,SHIPPING,,주문햇는데 아직도 안왓어요,오타가 있다.,m,합성,저작 시 유형 지정
300069,텍스트손상,ORDER_PLACE,,결제 햇는데 다시 결제 하라고 나와요,오타와 중복 표현.,m,합성,저작 시 유형 지정
300070,텍스트손상,RETURN_REFUND,,교한 신청 했눈데 연락이 없네요,오타가 두 군데 있다.,m,합성,저작 시 유형 지정
300071,텍스트손상,PRODUCT_INFO,,구셩품이 뭔지알려주세요,오타와 공백 누락.,m,합성,저작 시 유형 지정
300072,텍스트손상,SHIPPING,,택배사어디로나가나요 확인좀,공백이 거의 없다.,m,합성,저작 시 유형 지정
